Date,Open,High,Low,Close,Adj Close,Volume
2020-08-26,0.144678,0.145243,0.144672,0.144678,0.144678,0
2020-08-27,0.145245,0.145571,0.145113,0.145245,0.145245,0
2020-08-28,0.145155,0.145847,0.145153,0.145155,0.145155,0
2020-08-31,0.145679,0.146316,0.145679,0.145679,0.145679,0
2020-09-01,0.146034,0.146843,0.146026,0.146034,0.146034,0
2020-09-02,0.146466,0.146638,0.146242,0.146466,0.146466,0
2020-09-03,0.146257,0.146542,0.146032,0.146257,0.146257,0
2020-09-04,0.146075,0.146430,0.146075,0.146075,0.146075,0
2020-09-07,0.146167,0.146602,0.146167,0.146167,0.146167,0
2020-09-08,0.146424,0.146542,0.145985,0.146424,0.146424,0
2020-09-09,0.146090,0.146479,0.145881,0.146090,0.146090,0
2020-09-10,0.146374,0.146632,0.146169,0.146374,0.146374,0
2020-09-11,0.146342,0.146484,0.146239,0.146342,0.146342,0
2020-09-14,0.146340,0.146888,0.146340,0.146340,0.146340,0
2020-09-15,0.146862,0.147798,0.146854,0.146862,0.146862,0
2020-09-16,0.147486,0.148216,0.147475,0.147486,0.147486,0
2020-09-17,0.148067,0.148122,0.147523,0.148067,0.148067,0
2020-09-18,0.147839,0.148328,0.147593,0.147839,0.147839,0
2020-09-21,0.147754,0.148014,0.146964,0.147754,0.147754,0
2020-09-22,0.146979,0.147855,0.146968,0.146979,0.146979,0
2020-09-23,0.147527,0.147556,0.146800,0.147527,0.147527,0
2020-09-24,0.146867,0.146871,0.146359,0.146867,0.146867,0
2020-09-25,0.146462,0.146862,0.146368,0.146462,0.146462,0
2020-09-28,0.146567,0.147029,0.146484,0.146567,0.146567,0
2020-09-29,0.146826,0.146895,0.146490,0.146826,0.146826,0
2020-09-30,0.146727,0.147297,0.146709,0.146727,0.146727,0
2020-10-01,0.147282,0.147291,0.147275,0.147282,0.147282,0
2020-10-02,0.147288,0.147291,0.147280,0.147288,0.147288,0
2020-10-05,0.147280,0.147282,0.147280,0.147280,0.147280,0
2020-10-06,0.147280,0.147286,0.147275,0.147280,0.147280,0
2020-10-07,0.147280,0.147291,0.147275,0.147280,0.147280,0
2020-10-08,0.147282,0.147293,0.147280,0.147282,0.147282,0
2020-10-09,0.147293,0.149425,0.147282,0.147293,0.147293,0
2020-10-12,0.149394,0.149396,0.148076,0.149394,0.149394,0
2020-10-13,0.148258,0.148675,0.147940,0.148271,0.148271,0
2020-10-14,0.148247,0.149122,0.148227,0.148247,0.148247,0
2020-10-15,0.148951,0.149020,0.148500,0.148951,0.148951,0
2020-10-16,0.148723,0.149446,0.148708,0.148723,0.148723,0
2020-10-19,0.149330,0.149826,0.149200,0.149330,0.149330,0
2020-10-20,0.149685,0.150010,0.149428,0.149685,0.149685,0
2020-10-21,0.149808,0.150657,0.149797,0.149808,0.149808,0
2020-10-22,0.150376,0.150444,0.149530,0.150376,0.150376,0
2020-10-23,0.149622,0.150146,0.149441,0.149622,0.149622,0
2020-10-26,0.149571,0.149741,0.148960,0.149573,0.149573,0
2020-10-27,0.149002,0.149336,0.148750,0.149002,0.149002,0
2020-10-28,0.149156,0.149165,0.148610,0.149156,0.149156,0
2020-10-29,0.148635,0.149330,0.148626,0.148635,0.148635,0
2020-10-30,0.148943,0.149903,0.148934,0.148943,0.148943,0
2020-11-02,0.149439,0.149714,0.149265,0.149497,0.149497,0
2020-11-03,0.149484,0.149887,0.149350,0.149484,0.149484,0
2020-11-04,0.149779,0.150331,0.148078,0.149777,0.149777,0
2020-11-05,0.150331,0.151458,0.150128,0.150331,0.150331,0
2020-11-06,0.151396,0.151531,0.150682,0.151396,0.151396,0
2020-11-09,0.151274,0.152163,0.150852,0.151277,0.151277,0
2020-11-10,0.150873,0.151593,0.150861,0.150873,0.150873,0
2020-11-11,0.151176,0.151888,0.150807,0.151176,0.151176,0
2020-11-12,0.150811,0.151371,0.150775,0.150811,0.150811,0
2020-11-13,0.151272,0.151582,0.150934,0.151272,0.151272,0
2020-11-16,0.151391,0.152427,0.151391,0.151391,0.151391,0
2020-11-17,0.151888,0.152742,0.151879,0.151888,0.151888,0
2020-11-18,0.152553,0.153114,0.152351,0.152553,0.152553,0
2020-11-19,0.152451,0.152646,0.151724,0.152451,0.152451,0
2020-11-20,0.151920,0.152446,0.151918,0.151920,0.151920,0
2020-11-23,0.152393,0.152565,0.151860,0.152395,0.152395,0
2020-11-24,0.151872,0.152177,0.151708,0.151872,0.151872,0
2020-11-25,0.151740,0.152304,0.151731,0.151740,0.151740,0
2020-11-26,0.152033,0.152555,0.152017,0.152033,0.152033,0
2020-11-27,0.152103,0.152242,0.151911,0.152103,0.152103,0
2020-11-30,0.152070,0.152335,0.151665,0.152068,0.152068,0
2020-12-01,0.152027,0.152453,0.151844,0.152027,0.152027,0
2020-12-02,0.152188,0.152809,0.152177,0.152188,0.152188,0
2020-12-03,0.152383,0.152863,0.152365,0.152383,0.152383,0
2020-12-04,0.152872,0.153320,0.152646,0.152872,0.152872,0
2020-12-07,0.153125,0.153175,0.152858,0.153125,0.153125,0
2020-12-08,0.153170,0.153459,0.152950,0.153170,0.153170,0
2020-12-09,0.153099,0.153506,0.152807,0.153099,0.153099,0
2020-12-10,0.152854,0.153029,0.152641,0.152854,0.152854,0
2020-12-11,0.152802,0.153198,0.152735,0.152802,0.152802,0
2020-12-14,0.152772,0.153085,0.152676,0.152772,0.152772,0
2020-12-15,0.152679,0.153010,0.152555,0.152679,0.152679,0
2020-12-16,0.152945,0.153388,0.152795,0.152945,0.152945,0
2020-12-17,0.153109,0.153386,0.152926,0.153109,0.153109,0
2020-12-18,0.153090,0.153301,0.152819,0.153090,0.153090,0
2020-12-21,0.152982,0.152982,0.152569,0.152999,0.152999,0
2020-12-22,0.152714,0.153078,0.152614,0.152714,0.152714,0
2020-12-23,0.152854,0.153165,0.152576,0.152854,0.152854,0
2020-12-24,0.152915,0.153384,0.152910,0.152915,0.152915,0
2020-12-25,0.153163,0.153384,0.152830,0.153163,0.153163,0
2020-12-28,0.152886,0.153210,0.152865,0.152886,0.152886,0
2020-12-29,0.153008,0.153410,0.152994,0.153008,0.153008,0
2020-12-30,0.153139,0.153504,0.153003,0.153139,0.153139,0
2020-12-31,0.153323,0.153714,0.152763,0.153323,0.153323,0
2021-01-01,0.153099,0.153104,0.153092,0.153099,0.153099,0
2021-01-04,0.153240,0.154851,0.153240,0.153092,0.153092,0
2021-01-05,0.154787,0.155536,0.154650,0.154787,0.154787,0
2021-01-06,0.154914,0.155190,0.154744,0.154914,0.154914,0
2021-01-07,0.154782,0.155123,0.154369,0.154782,0.154782,0
2021-01-08,0.154388,0.154947,0.154383,0.154388,0.154388,0
2021-01-11,0.154454,0.154619,0.154069,0.154457,0.154457,0
2021-01-12,0.154328,0.154940,0.154323,0.154328,0.154328,0
2021-01-13,0.154729,0.155008,0.154545,0.154729,0.154729,0
2021-01-14,0.154631,0.154801,0.154454,0.154631,0.154631,0
2021-01-15,0.154485,0.154923,0.154319,0.154485,0.154485,0
2021-01-18,0.154326,0.154388,0.153939,0.154328,0.154328,0
2021-01-19,0.154050,0.154574,0.154048,0.154050,0.154050,0
2021-01-20,0.154371,0.154883,0.154366,0.154371,0.154371,0
2021-01-21,0.154669,0.155017,0.154665,0.154669,0.154669,0
